article,label
"Whoever visits Ulcinj, here's what happens to see Ulcinj, here's what will happen the coastal city of Ulcinj has made all the preparations to host tourists this summer, where all those who will spend their holidays in this country this seasonThey will have a 20 percent discount of prices. Ulcinj's plants are also ready for respect for measures to protect against infection with Covid-19.that they have made all the preparations to host tourists from Kosovo. He guarantees that prices will be more affordable and that tourists' safety will be at the highest level possible.",0
"Vucic: From Lavrov I received disturbing information on the Kosovo issue of Serbian President Aleksandar Vucic today stated that he was informed by Russian diplomacy Sergei Lavrov, that they expect Serbia difficult times, where they will face extensive pressure onKosovo. During a joint conference with Russia's Foreign Minister in Belgrade, Vucic said that any agreement that can be reached on this should declare Russia, the Telegraph reports.We paid, ”Vucic said, adding that today he will be in constant contact with the Kremlin.“ We have received certain ratings from Russia, more precisely from Lavrov, which as president have concerned me, have plans forSolving the Kosovo issue ”, added Vucic./Telegraph",1
"NASA's discovery, here's what there used to be in American space agents, NASA has studied the Earth's satellite past and revealed something interesting from its history. Experts in NASA believe that three to four billion years ago the moonThere was an atmosphere. According to NASA's new study, intensive volcanic activities released melted gases on the moon surface, at high speed that they could be distributed in the cosmos. These explosions carried gas compounds such as monoxide Icarbon and formed a temporary atmosphere around the moon that could last up to 70 million years before it was distributed in the darkness of the cosmos.Years. It is thought to have contained traces of sulfur and water.have appeared about three times the bigger in the sky, ”he said. See video",1
"In Montenegro, 52 new cases with Covid-19 in Montenegro have registered 52 new cases with Covid-19 in the last 24 hours, while no cases have been recorded with fatalities.Black has been announced that in the last 24 hours 75 people have been healed.52 new cases have emerged from 407 samples tested.One of the positive cases is in Ulcini, while Podgorica continues to have the largest number of cases, a total of 16 new cases are recorded. © TIME.All rights are reserved",1
"Gani Geci: VV are Communists, they must ""disappear"" from Kosovo Geci: VV are Communists, they must ""disappear"" from Kosovo in Kosovo Show Guest, Gani Geci said it was good for the government because VV wereGreat unista and their own millions are scattered as those who once went as RI.Geci even said that the prime minister will now be LDK. In the second part of the show you can follow a part whereResidents of Mitrovica were entertained by singing and dancing from their ""quarantined"" new stipes Kalemne and look at what Gani says on the show",0
"The government will reconsider the anti-Covid-19 measures following the Municipal Association's request today's meeting of the Committee for Coordination and Evaluation of the Emergency Situation with Corona Virus-Covid 19, the Association of Kosovo Municipalities, as representative of local authorities in the Republic ofKosovo, a member of this mechanism, presented the concerns of the municipalities of the Republic of Kosovo regarding the implementation and effects of these measures in the municipalities of Kosovo.and which proposals relate to the challenges in the gastronomy sector changing the movement schedule in the main municipalities of Kosovo in which the municipality has restricted the Citizens' Movement and allowing their work and the challenges in the implementation of the recommendation of the recommendationThe end of the NIPH for family doctors at the MFMC to diagnose patients with Covid 19 without testing called clinical diagnosis, ""reads the AKM announcement.of municipalities and mayors in preventing the spread of Covid 19, together with Armend Zemaj, the Minister of Health promised that in the sooner possible the demands of the municipalities regarding the measures foreseen by the decision of the Kosovo government of the date05 July 2020 and based on municipal requirements will be re-examined.It was a joint agreement that in addition to public health, the priority of the Government of the Republic of Kosovo and the municipalities is also economic health ”, concludes the announcement",1
"The EU reaches the bargain, the package reaches 1.8 billion euros for recovery from Covid-19 EU states have agreed on the largest financial package in the fight against the economic crisis due to the pandemic.The compromise was reached in the hours of Tuesday morning after a four -day marathon summit. In the fight against the economic crisis due to Corona, EU countries have agreed on the largest budget and financial package ever offered by the EU.It was EU Council leader Charles Michel who announced the news early Tuesday.The compromise arrives after more than four days of negotiations.The whole package reaches the figure of 1.8 billion euros, of which 1074 euros are planned for the EU seven -year buffet and 750 billion euros for the conjuncture and investment program.historical economic and preserve the internal market in the EU.At the same time it is intended to invest more in the digital and ecological economy.For the first time, the EU will have been largely taken away from the EU, the money will be distributed and the debts will be repaid together. The moon was resolved after numerous discussions two of the key points of the package.First a compromise was reached on the Corona program that paved the way for the final overhaul.Austria, Denmark, Sweden and the Netherlands agreed to obtain common debt and to make funds in the form of grants to EU countries.Germany, France, Italy and Spain, on the other hand, agreed that the amount of the Corona program in the form of grants would be reduced, from 500 billion to 390 billion euros.This was an important element for resolving the financial dispute. Austria, Denmark, Sweden and the Netherlands - self -proclaimed ""Four Swars"" - supported by Finland had demanded that countries like Italy or Spain were given loans and not aidfinancial that does not need to be repaid.In order to reach a compromise at the summit it was agreed that the amount of financial aids would be reduced and given more money in loan form.stimulants of the economy and for investment.Some of the member states are afraid that receiving a loan and a joint debt will further aggravate their countries' taxpayers.",1
"(Photo) Vushtrri: Returns the waste landfill in the village of Pestova about 6 kilometers from Vushtrri, Pestova village has been facing the problem of waste landfill for several years.Broken, chairs and construction materials which, in addition to the counterpoint, have also become the home of stray dogs. This landfill left the Municipality of Vushtrri last year but apparently returned again.The content of this publication is the responsibility of BIRN and can in no way be considered as the attitude of the European Union",1
"Unbelievable / here who is the Special Court's witness suspect? ""Have they suspected that I am a Special Court witness, and they wanted to eliminate me,"" said Gani Geci, accused and sentenced to 4 years by courtThe first instance, for the elimination of Ruzhdi Shaqiri.Geci made the statement at the Court of Appeal session on the case, while adding that the late Shaqiri was now part of a KR Minel group that had carried out political elimination after the war.. |The article continues…. |/ 5 sеkondа to this marketing is shown exclusive",0
"Electoral Reform, another without understanding of the Political Council Political Council just finished another meeting in Tirana, where the constitutional changes that are in the Assembly program to be voted on Thursday were discussed. Opposition MP Rudina Hajdari came out first andEnthusiastic from the 4 -hour meeting, saying that ""the citizens are finally winning and that there was a compromise on opening the electoral lists fully"". He added that he had endured any attacks and criticism for this result today and was readyHe also cooperated with the Democratic Party on the well-being of the future political process in Albania. But the representative of the Socialist Party, Damian Gjiknuri, said the parliamentary opposition had submitted a compromise, while the extra-parliamentary is trying to block the discussion of open coalitions and lists.He said the 100 percent opening could be discussed during changes in the Electoral Code. While for coalitions Mr. Gjiknuri said the Socialist Party proposed a compromise, which could be taken as an example of one of the models of the OSCE member states.Democratic Party representative, Oerd Bylykbashi, was even more critical, when he said the Socialists are acting unilaterally with the Constitution and aiming to disrupt the June 5 agreement. ""We asked the Socialist Party to express 100 percent of the lists butThey refused and did not move at all from their attitude.We proposed to make an amendment to the 100 per cent lists, without touching anything else, ”said Mr. Bylykbashi.We are ready to continue the discussion with transparency and consensus.We want to understand the lists of 100 percent and not 2/3 as the SP proposes, ”said Mr. Bylykbashi.change pre-election coalitions and the only topic have been open lists. ""The Socialists are making unilateral changes with SP MPs and some individuals detached in parliament.If they continue, they are making a constitutional coup.We just want the 100 per cent lists not 2/3 and not be affected by coalitions, ”said Mr. Vasili.don't hinder anything to you!- Mr. Rama told the opposition.- You want 100%open lists!The July 30 vote does not hinder this.We are ready to discuss it without losing a day after July 30th.You want the pre -election coalition you can't separate from the SMI!Nor does the July 30 vote prevent this.We also solve this if you have a positive will.Today a meeting with US and EU ambassadors to express their stance on electoral reform. Opposition representatives flown on ""unilateral actions taken by Prime Minister Rama to disrupt the consensus reached with the June 5 agreement"".That the logic of the ""done fact"" that Mr. Rama uses is a constant attempt to undermine political dialogue between the parties and infringes confidence in international partners, who, repeatedly, are calling for dialogue, stressing that inclusion is standardfor the electoral reform. “The unilateral amendment of the Constitution changes the basic elements of the electoral system, runs counter to the January 14 agreement, undermines the June 5 agreement, is contrary to the OSCE-ODIHR recommendations and the Venice Commission, as well as the law ofadopted on July 23 by the Assembly in accordance with the June 5 agreement ” - stated opposition representatives at meeting with US and European diplomats",1
"The Korean artist who is ""Tryios"" the world with his works with Korean artist who is ""terrifying"" the world with his works a 3D artist has created a series of epic hyper-realistic paintings of fish and reptiles.Surprisingly, artists spend up to 10 months in every masterpiece.Hy Young-Sung Kim, 45, from Korea, began his activity in 1993 and went with his oil paintings./ 5 seconds after you have opened the marketing opens the full item",0
"Today a protest against the construction of the Mosque in Prishtina at 11:00 will be protesting against the construction of the Grand Mosque in Pristina. The protest has been announced on Facebook by Binak Gashi, former commander of the Kosovo Liberation Army, already part of OVL OVLKLA.Gashi said that the protest will be held precisely at the location where the mosque has begun to be built near the Central Telecom of Kosovo.11:00 am, a protest is organized against the construction of this mosque in the location where the work began.Participants are equipped with anti -vid masses, ""Binak Gashi announced on Facebook. He criticized the fact that the mosque is funded by Turkey, while saying that Kosovo is not a province of Turkey but"" History of Illyria since Pelasgian "".""The start of the work on this mosque has taken place on July 16 as the coincidence of the military coup anniversary in Turkey, shows directly against the independence of Kosovo and its silent institutions,"" said the KLA veteran.",1
"The gift shone all dressed in flowers, but you will not believe how much the dressing is costing is one of the most beloved Kosovar singers. She achieved great fame for a very short time and is now the most fans singer,writes ORAinfo.In addition to her career as a singer, she is very commented especially on her appearance. She is active on social media with various posts.just than 1119 euros./ORAinfo",0
"The Albanian singer threw the wedding at the wedding: I am the only one here and my husband and d ashnorinaurela Gace, the well -known Albanian singer is known for her Hu Mori and always likes to get everything humorously.Moderator from Kosovo, Labit pushes PE R3K 1AM3N below to read the full news: Aurela has lived the joke she did at her wedding, when she has sweetened the microphone and stated that she is the only one at the wedding and her husband andThe lover. However, just minutes later she has shown that she had her for her singer and lovers Dikon, who was present / exceeded marketing to watch the picture",0
"Hoti meets the ambassadors of the Quint states, speak of the Dialogue of the Government of the Republic of Kosovo, Avdullah Hoti, along with the State Coordinator for Dialogue with Serbia, Skender Hyseni, today met with the ambassadors of Quint states.The Prime Minister's office at the meeting discussed current developments in the country, especially the process of dialogue with Serbia. According to Hoti, this dialogue should be concluded with mutual recognition and normalization of relations between the two countries.Quint Ambassadors and Head of the Office of the European Union, Nataliya Apostolova, for the measures taken by the Government of Kosovo to prevent Covid 19 and for the Economic Recovery Package",1
